1,Вводная часть 
2,Оценка достигнутых целей социально-экономического развития
3,Приоритеты, цели и задачи социально-экономического развития
4,Целевой сценарий социально-экономического развития 
5,Основные направления развития человеческого капитала и социальной сферы
6,Основные направления экономического развития 
7,Основные направления развития научно-инновационной сферы 
8,Основные направления рационального природопользования и обеспечения экологической безопасности
9,Основные направления развития межрегиональных и внешнеэкономических связей 
10,Основные направления пространственного развития 
11,Сведения о кадровом обеспечении экономики 
12,Заключительная часть
13,Оценка финансовых ресурсов, необходимых для реализации стратегии
14,Сроки и этапы реализации стратегии
15,Приложение с основными показателями достижения целей социально-экономического развития
16,Приложение с ожидаемыми результатами реализации стратегии
17,Приложение с перечнем крупных инвестиционных проектов
18,Приложение с государственными программами
