№;Узкий вопрос;Комментарий
;Какая дата принятия указана в данном тексте?;К 1 стр.
;До какой даты действует указанный текст?;К 1 стр.
;Перечисли все даты, когда в документ вносились изменения;К 1 стр.
;;
1;Есть ли в тексте раздел, содержащий введение?;
2;Есть ли в данном тексте оценка достигнутых целей социально-экономического развития?;
3;Есть ли в данном тексте раздел с приоритетами, целями и задачами социально-экономического развития;
4;Есть ли в данном тексте раздел с целевым сценарием социально-экономического развития?;
5;Есть ли в данном тексте раздел про развитие человеческого капитала и социальной сферы? ;
6;Есть ли в данном тексте раздел про направления экономического развития?;
7;Есть ли в данном тексте раздел про научно-инновационную сферу?;
8;Есть ли в данном тексте раздел про рациональное природопользование и обеспечение экологической безопасности?;
9;Есть ли в данном тексте раздел про межрегиональные и внешнеэкономические связи?;
10;Есть ли в данном тексте раздел про пространственное развитие?;
11;Есть ли в данном тексте раздел о кадровом обеспечении экономики?;
12;Есть ли в данном тексте раздел заключение?;
13;Есть ли в данном тексте раздел про оценку финансовых ресурсов, необходимых для реализации стратегии?;
14;Есть ли в данном тексте раздел со сроками и этапами реализации стратегии?;
15;Есть ли в данном тексте приложение или раздел с основными показателями достижения целей социально-экономического развития? ;
16;Есть ли в данном тексте приложение или раздел с ожидаемыми результатами реализации стратегии? ;
17;Есть ли в данном тексте приложение или раздел с перечнем крупных инвестиционных проектов?;
18;Есть ли в данном тексте приложение или раздел с информацией о государственных программах? ;
