instruction,input,output
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Раздел 1. ВВОДНАЯ ЧАСТЬ,1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.2.2. Анализ результатов реализации действующей Стратегии социально-экономического развития Брянской области,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.2.3. Основные показатели социально-экономического развития Брянской области и ее место в Российской Федерации и Центральном федеральном округе.,15
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Раздел 2. ПРИОРИТЕТЫ  ЦЕЛИ И ЗАДАЧИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ БРЯНСКОЙ ОБЛАСТИ,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1. Приоритет: развитие человеческого капитала и социальной сферы Брянской области.,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2. Приоритет: экономическое развитие Брянской области.,6
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3. Приоритет: развитие научно-инновационной сферы Брянской области.,7
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,4. Приоритет: основные направления рационального природопользования и обеспечения экологической безопасности Брянской области.,8
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,5. Приоритет: основные направления пространственного развития Брянской области,10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,"""Раздел 3. ПРИОРИТЕТ """"РАЗВИТИЕ ЧЕЛОВЕЧЕСКОГО КАПИТАЛА И СОЦИАЛЬНОЙ СФЕРЫ БРЯНСКОЙ ОБЛАСТИ""""""",5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,"""Раздел 4. ПРИОРИТЕТ """"ЭКОНОМИЧЕСКОЕ РАЗВИТИЕ БРЯНСКОЙ ОБЛАСТИ""""""",6
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,"""Раздел 7. ПРИОРИТЕТ """"ПРОСТРАНСТВЕННОЕ РАЗВИТИЕ БРЯНСКОЙ ОБЛАСТИ""""""",10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Раздел 8. СЦЕНАРИИ И ЭТАПЫ РЕАЛИЗАЦИИ СТРАТЕГИИ,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.2. Финансовые ресурсы  необходимые для реализации Стратегии  инструменты реализации Стратегии.,13
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение 5. Инвестиционные проекты,17
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1. Оценка достигнутых целей социально-экономического развития Республики Адыгея,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Таблица 2. Оценка достижения целевых параметров Стратегии,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2. Приоритеты  цели  задачи и направления социально-экономической политики Республики Адыгея. Показатели достижения целей социально-экономического развития Республики Адыгея,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.1. Ценности и приоритеты,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.2. Главная стратегическая цель,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3. Целевое видение  индикаторы достижения целей  ожидаемые результаты реализации стратегии,16
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,5. Сроки  этапы и сценарии реализации Стратегии,14
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,6. Ожидаемые результаты реализации Стратегии,16
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,7. Оценка финансовых ресурсов  необходимых для реализации Стратегии,13
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,9. Информация о государственных программах Республики Адыгея  утверждаемых в целях реализации Стратегии,18
