1. Характеристика Стратегии;1
2. Оценка достигнутых целей социально-экономического развития Вологодской области;2
Характеристика места и значения Вологодской области в Российской Федерации;-1
Оценка совокупного потенциала Вологодской области. Геополитический ресурсный потенциал;-1
Природно-климатический ресурсный потенциал;-1
Научно-промышленный потенциал;-1
Экспортный потенциал;-1
Социально-культурный потенциал;-1
Проблемы и ограничители современного этапа развития;-1
3. Цель и приоритеты социально-экономической политики Вологодской области на период до 2030 года;3
"4. Реализация приоритета ""Формирование пространства для жизни""";3
4.1. В сфере семьи и устойчивого народосбережения;-1
4.2. В сфере укрепления общественного здоровья;-1
4.3. В сфере охраны здоровья населения области;-1
4.4. В сфере развития физической культуры и спорта;-1
4.5. В сфере безопасности проживания и самосохранения населения;-1
4.6. В сфере обеспечения качества жизнедеятельности населения;-1
4.7. В сфере жилья и создания благоприятных условий проживания;-1
"5. Реализация приоритета ""Формирование пространства для развития""";3
5.1. В сфере развития общего и дополнительного образования;-1
5.2. В сфере развития профессионального образования и подготовки кадров;-1
5.3. В сфере обеспечения экономики и социального сектора эффективными трудовыми ресурсами;-1
5.4. В сфере развития научно-технологического потенциала и инновационной сферы;-1
5.5. В сфере структурной диверсификации экономики региона и развития высокотехнологичных производств;-1
5.6. В сфере предпринимательства и развития конкуренции;-1
5.7. Инвестиционная стратегия;-1
5.8. В сфере развития конкурентоспособности экспорта и импортоопережения, обеспечения благоприятных условий для ведения экспортной деятельности;-1
5.9. В сфере развития политического самосознания, гражданской активности и самореализации населения;-1
5.10. В сфере культуры и историко-культурного наследия;-1
"6. Реализация приоритета ""Формирование пространства эффективности""";3
6.1. В сфере транспорта и дорожной сети;-1
6.2. В сфере развития топливно-энергетической инфраструктуры;-1
6.3. В сфере связи и телекоммуникаций;-1
6.4. В сфере природных ресурсов и минерально-сырьевой базы;-1
"6.5. В сфере обеспечения экологического благополучия и создания основ ""зеленого"" региона";-1
6.6. В сфере комплексного пространственного развития территорий региона;-1
6.7. В сфере государственного и муниципального управления;-1
6.8. В сфере эффективного управления земельно-имущественным комплексом региона;-1
6.9. В сфере обеспечения финансовой устойчивости региона;-1
7. Этапы реализации Стратегии;14
8. Оценка финансовых ресурсов, необходимых для реализации Стратегии;13
9. Информация о государственных программах Вологодской области, утверждаемых в целях реализации Стратегии;18
Приложение 1. РЕГИОНАЛЬНЫЕ СТРАТЕГИЧЕСКИЕ НАПРАВЛЕНИЯ;6
Приложение 2. ИНФРАСТРУКТУРНЫЕ ПЛОЩАДКИ ВОЛОГОДСКОЙ ОБЛАСТИ;-1
Приложение 3. ХАРАКТЕРИСТИКА МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ ВОЛОГОДСКОЙ ОБЛАСТИ ПО ОСНОВНЫМ ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ <*>;-1
Приложение 4. ПЕРЕЧЕНЬ РЕАЛИЗУЕМЫХ ИЛИ ПЛАНИРУЕМЫХ К РЕАЛИЗАЦИИ ИНВЕСТИЦИОННЫХ ЭКСПОРТНО ОРИЕНТИРОВАННЫХ ПРОЕКТОВ НА ТЕРРИТОРИИ ВОЛОГОДСКОЙ ОБЛАСТИ;17
