Введение;1
Рисунок 1;-1
Таблица 1. Цели семи направлений конкуренции;-1
1. Оценка достигнутых целей социально-экономического развития Республики Адыгея;2
Таблица 2. Оценка достижения целевых параметров Стратегии;2
1.1. Общая оценка уровня конкурентоспособности Республики Адыгея в сравнении с другими регионами;-1
1.2. Конкурентные преимущества и ключевые проблемы;-1
2. Приоритеты, цели, задачи и направления социально-экономической политики Республики Адыгея. Показатели достижения целей социально-экономического развития Республики Адыгея;3
2.1. Ценности и приоритеты;3
2.2. Главная стратегическая цель;3
2.3. Стратегическое видение в разрезе семи направлений конкуренции;-1
3. Целевое видение, индикаторы достижения целей, ожидаемые результаты реализации стратегии;16
3.1. Социально-экономическая политика;-1
3.2. Развитие Республики Адыгея в разрезе ключевых направлений конкуренции;-1
3.3. Развитие экономических комплексов;-1
4. Флагманские проекты;-1
"4.1. Флагманский проект ""Адыгея без границ""";-1
"4.2. Флагманский проект ""Умная Адыгея""";-1
"4.3. Флагманский проект ""Культура Адыгеи""";-1
"4.4. Флагманский проект ""Образование - основа развития Адыгеи""";-1
"4.5. Флагманский проект ""Здоровая Адыгея""";-1
"4.6. Флагманский проект ""Развитие туристско-рекреационного комплекса Республики Адыгея""";-1
"4.7. Флагманский проект ""Развитие ""зеленой"" энергетики Республики Адыгея""";-1
"4.8. Флагманский проект ""Развитие агропромышленного комплекса Республики Адыгея""";-1
"4.9. Флагманский проект ""Развитие промышленности Республики Адыгея""";-1
"4.10. Флагманский проект ""Умная торговля и логистика Республики Адыгея""";-1
5. Сроки, этапы и сценарии реализации Стратегии;14
6. Ожидаемые результаты реализации Стратегии;16
Прогноз ключевых индикаторов;-1
7. Оценка финансовых ресурсов, необходимых для реализации Стратегии;13
Таблица 33. Оценка финансовых ресурсов, необходимых;-1
8. Инструменты реализации, мониторинг Стратегии;-1
Рисунок 40;-1
Рисунок 41;-1
9. Информация о государственных программах Республики Адыгея, утверждаемых в целях реализации Стратегии;18
Таблица 34. Перечень действующих и предполагаемых;-1
Приложение 1. ГЛОБАЛЬНЫЕ СТРАТЕГИЧЕСКИЕ ВЫЗОВЫ;-1
Приложение 2. Таблица 35. Структура экономических комплексов и схема соответствия ОКВЭД;-1
Приложение 3. ПОЯСНЕНИЯ К НЕКОТОРЫМ ТЕРМИНАМ;-1
"Модель ""Галактика""";-1
Умная экономика, кластеры;-1
Человеческий капитал, социальная сфера;5
Пространственное развитие;10
Элементы стратегии и стратегического процесса;-1
Приложение 4. КАДРОВОЕ ОБЕСПЕЧЕНИЕ СТРАТЕГИИ;11
Рис. 43. Прогноз числа занятых в разрезе экономических;-1
Рис. 44. Структура занятости в разрезе экономических;-1
Задачи и мероприятия в разрезе экономических комплексов;-1
