ВВЕДЕНИЕ;1
Раздел I. ИТОГИ РАЗВИТИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ЗА 2008 - 2017 ГОДЫ;2
1. Основные итоги реализации Стратегии социально-экономического развития Архангельской области на период до 2030 года (за 2008 - 2017 годы);2
2. Ключевые параметры социально-экономического развития Архангельской области в 2008 - 2016 годах;-1
Раздел II. ФАКТОРЫ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;-1
Раздел III. КОНКУРЕНТОСПОСОБНОСТЬ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;-1
1. Конкурентные преимущества Архангельской области;-1
2. Ключевые вызовы развития Архангельской области;-1
Раздел IV. ПРИОРИТЕТЫ И ЦЕЛИ ДОЛГОСРОЧНОГО СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;3
СОХРАНЕНИЕ И РАЗВИТИЕ ЧЕЛОВЕЧЕСКОГО КАПИТАЛА;-1
ПРОСТРАНСТВО, КОМФОРТНОЕ ДЛЯ ЖИЗНИ;-1
БЛАГОПРИЯТНЫЕ УСЛОВИЯ ДЛЯ УСТОЙЧИВОГО ЭКОНОМИЧЕСКОГО РОСТА;-1
КОНСОЛИДАЦИЯ НАСЕЛЕНИЯ И РАЗВИТИЕ ГРАЖДАНСКОГО ОБЩЕСТВА;-1
Раздел V. КЛЮЧЕВЫЕ ПРОЕКТЫ И ЗАДАЧИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;3
1. СОХРАНЕНИЕ И РАЗВИТИЕ ЧЕЛОВЕЧЕСКОГО КАПИТАЛА;-1
2. ПРОСТРАНСТВО, КОМФОРТНОЕ ДЛЯ ЖИЗНИ;-1
3. БЛАГОПРИЯТНЫЕ УСЛОВИЯ ДЛЯ УСТОЙЧИВОГО ЭКОНОМИЧЕСКОГО РОСТА;-1
4. КОНСОЛИДАЦИЯ НАСЕЛЕНИЯ И РАЗВИТИЕ ГРАЖДАНСКОГО ОБЩЕСТВА;-1
Раздел VI. СЦЕНАРИЙ РАЗВИТИЯ НА ПЕРИОД ДО 2035 ГОДА;4
1. Факторы внешней среды;-1
2. Сценарные условия развития Архангельской области;4
3. Целевой сценарий;4
Раздел VII. УПРАВЛЕНИЕ РЕАЛИЗАЦИЕЙ СТРАТЕГИИ;-1
1. Сроки и этапы реализации Стратегии;14
2. Ожидаемые результаты реализации Стратегии;16
3. Мониторинг достижения целей Стратегии;-1
4. Ресурсы и механизмы реализации Стратегии;13
Приложение N 1. Перечень государственных программ и приоритетных проектов, включенных в Стратегию;18
Приложение N 2. Прогноз ключевых показателей для мониторинга реализации Стратегии;15
