Раздел I ОБЩИЕ ПОЛОЖЕНИЯ;;;1
Раздел II СТРАТЕГИЧЕСКИЙ АНАЛИЗ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АСТРАХАНСКОЙ ОБЛАСТИ;;;-1
1. Краткая экономико-географическая характеристика Астраханской области;;;-1
2. Оценка достигнутых целей социально-экономического развития Астраханской области, ее место и роль в Российской Федерации и Южном федеральном округе;;;2
Раздел III СЦЕНАРИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АСТРАХАНСКОЙ ОБЛАСТИ;;;4
1. Первый сценарий (базовый);;;4
2. Второй сценарий;;;4
Раздел IV СТРАТЕГИЧЕСКОЕ ВИДЕНИЕ (МИССИЯ), ЦЕЛЬ, ЗАДАЧИ И ПРОЕКТНЫЕ НАПРАВЛЕНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АСТРАХАНСКОЙ ОБЛАСТИ;;;3
"1. Проектная инициатива ""Достойная жизнь""";;;-1
"2. Проектная инициатива ""Регион для достойной жизни""";;;-1
"3. Проектная инициатива ""Новый производственный комплекс""";;;-1
Раздел V ПРОСТРАНСТВЕННОЕ РАЗВИТИЕ АСТРАХАНСКОЙ ОБЛАСТИ;;;10
Анализ пространственной организации Астраханской области;;;-1
Динамика инвестиций в основной капитал по районам;;;-1
Перспективы пространственного развития Астраханской области;;;-1
Пространственная характеристика зон экономического роста;;;-1
Прогноз удельного веса зон экономического роста;;;-1
Раздел VI КАДРОВАЯ ПОЛИТИКА АСТРАХАНСКОЙ ОБЛАСТИ;;;11
Распределение потребности в кадрах;;;-1
"Потребность в кадрах - ""Сельское, лесное хозяйство, охота,";;;-1
"Потребность в кадрах - ""Обрабатывающие производства"",";;;-1
"Потребность в кадрах - ""Строительство"", человек";;;-1
Деятельность в области здравоохранения и социальных услуг;;;-1
"Потребность в кадрах - ""Деятельность в области";;;-1
"Потребность в кадрах - ""Образование"", человек";;;-1
Раздел VII СРОКИ РЕАЛИЗАЦИИ СТРАТЕГИИ;;;14
Раздел VIII МЕХАНИЗМЫ РЕАЛИЗАЦИИ СТРАТЕГИИ АСТРАХАНСКОЙ ОБЛАСТИ;;;-1
Раздел IX РЕСУРСНОЕ ОБЕСПЕЧЕНИЕ РЕАЛИЗАЦИИ СТРАТЕГИИ;;;13
Ресурсное обеспечение Стратегии;;;13
Раздел X ОЖИДАЕМЫЕ РЕЗУЛЬТАТЫ РЕАЛИЗАЦИИ СТРАТЕГИИ;;;16
Приложение 1. ОСНОВНЫЕ ПОКАЗАТЕЛИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АСТРАХАНСКОЙ ОБЛАСТИ В 2010 - 2019 ГОДАХ;;;15
Приложение 2. ЦЕЛЕВЫЕ ПОКАЗАТЕЛИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АСТРАХАНСКОЙ ОБЛАСТИ ДО 2035 ГОДА;;;15
"По направлению ""Развитие человеческого капитала и социальной сферы""";;;-1
"По направлению ""Экономическое развитие""";;;-1
"По направлению ""Развитие научно-инновационной сферы""";;;-1
"По направлению ""Рациональное природопользование и охрана окружающей среды""";;;-1
"По направлению ""Развитие межрегиональных и внешнеэкономических связей""";;;-1
"По направлению ""Пространственное развитие (в разрезе субъекта Российской Федерации и муниципальных образований)""";;;-1
"По направлению ""Кадровое обеспечение экономики субъекта Российской Федерации""";;;-1
Приложение 3. ПЕРЕЧЕНЬ ГОСУДАРСТВЕННЫХ ПРОГРАММ АСТРАХАНСКОЙ ОБЛАСТИ;;;18
Приложение 4. ПЕРЕЧЕНЬ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ;;;17
1. Промышленно-производственный сектор;;;-1
2. Транспорт;;;-1
3. Энергетика;;;-1
4. Здравоохранение;;;-1
5. Сельское хозяйство;;;-1
6. Рыбохозяйственный комплекс;;;-1
7. Спорт;;;-1
8. Туризм и социальная сфера;;;-1
9. Прочие;;;-1
